"","AIRLINE","num_flights","num_delayed_flights","avg_flights_duration","avg_flights_distance","distance_covered_all","avg_departure_delay","avg_arrival_delay","IATA_CODE","AIRLINE..10","IATA_CODE..11","AIRLINE..12"
"1","AA",187472,187472,169.690817828796,1034.75888666041,193988318,42.5463909277119,41.8993556371085,"AA","American Airlines Inc.","AA","American Airlines Inc."
"2","AS",35498,35498,170.08955434109,1099.21913910643,39020081,29.8092286889402,31.112766916446,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc."
"3","B6",82061,82061,177.770512179964,1113.15206980173,91346372,44.4893676655171,44.3804121324381,"B6","JetBlue Airways","B6","JetBlue Airways"
"4","DL",197233,197233,148.191869514736,868.768862208657,171349889,39.2635816521576,37.7983146836483,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc."
"5","EV",150388,150388,101.029550230072,470.813070191771,70804636,44.6637963135357,45.6776538021651,"EV","Atlantic Southeast Airlines","EV","Atlantic Southeast Airlines"
"6","F9",31149,31149,158.116953995313,968.282641497319,30161036,48.6791871328133,50.7311310154419,"F9","Frontier Airlines Inc.","F9","Frontier Airlines Inc."
"7","HA",20134,20134,97.688437468958,582.891079765571,11735929,16.3297904042912,19.4813747889143,"HA","Hawaiian Airlines Inc.","HA","Hawaiian Airlines Inc."
"8","MQ",81079,81079,99.3597479001961,439.158018722481,35606493,44.4885728733704,46.9422168502325,"MQ","American Eagle Airlines Inc.","MQ","American Eagle Airlines Inc."
"9","NK",45826,45826,159.829223584864,992.706367564265,45491762,46.3663204294505,47.5573255357221,"NK","Spirit Air Lines","NK","Spirit Air Lines"
"10","OO",154535,154535,105.07211958456,513.215355744653,79309735,42.2105930695312,42.5735076196331,"OO","Skywest Airlines Inc.","OO","Skywest Airlines Inc."
"11","UA",168304,168304,196.647982222645,1277.7603562601,215052179,45.6527890008556,41.8958729441962,"UA","United Air Lines Inc.","UA","United Air Lines Inc."
"12","US",51491,51491,157.667301081742,920.026412382746,47373080,32.8216969955915,35.1558718999437,"US","US Airways Inc.","US","US Airways Inc."
"13","VX",18567,18567,194.463241234448,1282.49205579792,23812030,35.9698389615985,36.8458016911725,"VX","Virgin America","VX","Virgin America"
"14","WN",427103,427103,120.585331875449,718.351254849533,306809976,33.5494669903981,31.3151043190987,"WN","Southwest Airlines Co.","WN","Southwest Airlines Co."
